x           v
0 0
9.9999e-06 4.49979e-13
1.99998e-05 -4.99958e-09
2.99997e-05 8.99858e-13
3.99996e-05 -4.99903e-09
4.99995e-05 1.34964e-12
5.99994e-05 -4.99848e-09
6.99993e-05 1.79932e-12
7.99992e-05 -4.99793e-09
8.99991e-05 2.2489e-12
9.9999e-05 -4.99738e-09
0.000109999 2.69838e-12
0.000119999 -4.99683e-09
0.000129999 3.14776e-12
0.000139999 -4.99628e-09
0.000149999 3.59704e-12
0.000159998 -4.99573e-09
0.000169998 4.04622e-12
0.000179998 -4.99518e-09
0.000189998 4.4953e-12
0.000199998 -4.99463e-09
0.000209998 4.94428e-12
0.000219998 -4.99408e-09
0.000229998 5.39316e-12
0.000239998 -4.99353e-09
0.000249998 5.84194e-12
0.000259997 -4.99298e-09
0.000269997 6.29062e-12
0.000279997 -4.99243e-09
0.000289997 6.7392e-12
0.000299997 -4.99189e-09
0.000309997 7.18768e-12
0.000319997 -4.99134e-09
0.000329997 7.63606e-12
0.000339997 -4.99079e-09
0.000349997 8.08434e-12
0.000359996 -4.99024e-09
0.000369996 8.53253e-12
0.000379996 -4.98969e-09
0.000389996 8.98061e-12
0.000399996 -4.98915e-09
0.000409996 9.42859e-12
0.000419996 -4.9886e-09
0.000429996 9.87648e-12
0.000439996 -4.98805e-09
0.000449996 1.03243e-11
0.000459995 -4.9875e-09
0.000469995 1.07719e-11
0.000479995 -4.98695e-09
0.000489995 1.12195e-11
0.000499995 -4.98641e-09
0.000509995 1.1667e-11
0.000519995 -4.98586e-09
0.000529995 1.21144e-11
0.000539995 -4.98531e-09
0.000549995 1.25617e-11
0.000559994 -4.98476e-09
0.000569994 1.30089e-11
0.000579994 -4.98422e-09
0.000589994 1.3456e-11
0.000599994 -4.98367e-09
0.000609994 1.3903e-11
0.000619994 -4.98312e-09
0.000629994 1.43498e-11
0.000639994 -4.98258e-09
0.000649994 1.47966e-11
0.000659993 -4.98203e-09
0.000669993 1.52433e-11
0.000679993 -4.98148e-09
0.000689993 1.56899e-11
0.000699993 -4.98094e-09
0.000709993 1.61364e-11
0.000719993 -4.98039e-09
0.000729993 1.65828e-11
0.000739993 -4.97984e-09
0.000749993 1.70291e-11
0.000759992 -4.9793e-09
0.000769992 1.74753e-11
0.000779992 -4.97875e-09
0.000789992 1.79214e-11
0.000799992 -4.97821e-09
0.000809992 1.83674e-11
0.000819992 -4.97766e-09
0.000829992 1.88133e-11
0.000839992 -4.97711e-09
0.000849992 1.92591e-11
0.000859991 -4.97657e-09
0.000869991 1.97048e-11
0.000879991 -4.97602e-09
0.000889991 2.01504e-11
0.000899991 -4.97548e-09
0.000909991 2.05959e-11
0.000919991 -4.97493e-09
0.000929991 2.10413e-11
0.000939991 -4.97439e-09
0.000949991 2.14866e-11
0.00095999 -4.97384e-09
0.00096999 2.19318e-11
0.00097999 -4.9733e-09
0.00098999 2.23769e-11
0.00099999 -4.97275e-09
0.00100999 2.28219e-11
0.00101999 -4.97221e-09
0.00102999 2.32668e-11
0.00103999 -4.97166e-09
0.00104999 2.37116e-11
0.00105999 -4.97112e-09
0.00106999 2.41563e-11
0.00107999 -4.97057e-09
0.00108999 2.46009e-11
0.00109999 -4.97003e-09
0.00110999 2.50454e-11
0.00111999 -4.96948e-09
0.00112999 2.54898e-11
0.00113999 -4.96894e-09
0.00114999 2.59341e-11
0.00115999 -4.96839e-09
0.00116999 2.63783e-11
0.00117999 -4.96785e-09
0.00118999 2.68225e-11
0.00119999 -4.9673e-09
0.00120999 2.72665e-11
0.00121999 -4.96676e-09
0.00122999 2.77104e-11
0.00123999 -4.96622e-09
0.00124999 2.81542e-11
0.00125999 -4.96567e-09
0.00126999 2.85979e-11
0.00127999 -4.96513e-09
0.00128999 2.90415e-11
0.00129999 -4.96459e-09
0.00130999 2.94851e-11
0.00131999 -4.96404e-09
0.00132999 2.99285e-11
0.00133999 -4.9635e-09
0.00134999 3.03718e-11
0.00135999 -4.96296e-09
0.00136999 3.0815e-11
0.00137999 -4.96241e-09
0.00138999 3.12582e-11
0.00139999 -4.96187e-09
0.00140999 3.17012e-11
0.00141999 -4.96133e-09
0.00142999 3.21441e-11
0.00143999 -4.96078e-09
0.00144999 3.2587e-11
0.00145999 -4.96024e-09
0.00146999 3.30297e-11
0.00147999 -4.9597e-09
0.00148999 3.34723e-11
0.00149999 -4.95916e-09
0.00150998 3.39149e-11
0.00151998 -4.95861e-09
0.00152998 3.43573e-11
0.00153998 -4.95807e-09
0.00154998 3.47996e-11
0.00155998 -4.95753e-09
0.00156998 3.52419e-11
0.00157998 -4.95699e-09
0.00158998 3.5684e-11
0.00159998 -4.95644e-09
0.00160998 3.61261e-11
0.00161998 -4.9559e-09
0.00162998 3.6568e-11
0.00163998 -4.95536e-09
0.00164998 3.70099e-11
0.00165998 -4.95482e-09
0.00166998 3.74516e-11
0.00167998 -4.95428e-09
0.00168998 3.78933e-11
0.00169998 -4.95373e-09
0.00170998 3.83348e-11
0.00171998 -4.95319e-09
0.00172998 3.87763e-11
0.00173998 -4.95265e-09
0.00174998 3.92176e-11
0.00175998 -4.95211e-09
0.00176998 3.96589e-11
0.00177998 -4.95157e-09
0.00178998 4.01e-11
0.00179998 -4.95103e-09
0.00180998 4.05411e-11
0.00181998 -4.95049e-09
0.00182998 4.0982e-11
0.00183998 -4.94995e-09
0.00184998 4.14229e-11
0.00185998 -4.94941e-09
0.00186998 4.18637e-11
0.00187998 -4.94886e-09
0.00188998 4.23043e-11
0.00189998 -4.94832e-09
0.00190998 4.27449e-11
0.00191998 -4.94778e-09
0.00192998 4.31854e-11
0.00193998 -4.94724e-09
0.00194998 4.36258e-11
0.00195998 -4.9467e-09
0.00196998 4.4066e-11
0.00197998 -4.94616e-09
0.00198998 4.45062e-11
0.00199998 -4.94562e-09
0.00200998 4.49463e-11
0.00201998 -4.94508e-09
0.00202998 4.53863e-11
0.00203998 -4.94454e-09
0.00204998 4.58262e-11
0.00205998 -4.944e-09
0.00206998 4.62659e-11
