x           v
0 0
9.999e-05 4.49813e-10
0.00019998 -4.99576e-07
0.00029997 8.98627e-10
0.00039996 -4.99027e-07
0.00049995 1.34644e-09
0.00059994 -4.9848e-07
0.00069993 1.79327e-09
0.00079992 -4.97933e-07
0.00089991 2.2391e-09
0.0009999 -4.97388e-07
0.00109989 2.68394e-09
0.00119988 -4.96844e-07
0.00129987 3.12779e-09
0.00139986 -4.963e-07
0.00149985 3.57065e-09
0.00159984 -4.95758e-07
0.00169983 4.01253e-09
0.00179982 -4.95216e-07
0.00189981 4.45343e-09
0.0019998 -4.94676e-07
0.00209979 4.89334e-09
0.00219978 -4.94136e-07
0.00229977 5.33228e-09
0.00239976 -4.93598e-07
0.00249975 5.77024e-09
0.00259974 -4.9306e-07
0.00269973 6.20723e-09
0.00279972 -4.92524e-07
0.00289971 6.64324e-09
0.0029997 -4.91988e-07
0.00309969 7.07828e-09
0.00319968 -4.91453e-07
0.00329967 7.51235e-09
0.00339966 -4.9092e-07
0.00349965 7.94546e-09
0.00359964 -4.90387e-07
0.00369963 8.3776e-09
0.00379962 -4.89855e-07
0.00389961 8.80878e-09
0.0039996 -4.89324e-07
0.00409959 9.23899e-09
0.00419958 -4.88795e-07
0.00429957 9.66825e-09
0.00439956 -4.88266e-07
0.00449955 1.00965e-08
0.00459954 -4.87738e-07
0.00469953 1.05239e-08
0.00479952 -4.87211e-07
0.00489951 1.09503e-08
0.0049995 -4.86685e-07
0.00509949 1.13757e-08
0.00519948 -4.8616e-07
0.00529947 1.18002e-08
0.00539946 -4.85636e-07
0.00549945 1.22237e-08
0.00559944 -4.85113e-07
0.00569943 1.26463e-08
0.00579942 -4.84591e-07
0.00589941 1.3068e-08
0.0059994 -4.84069e-07
0.00609939 1.34887e-08
0.00619938 -4.83549e-07
0.00629937 1.39085e-08
0.00639936 -4.8303e-07
0.00649935 1.43273e-08
0.00659934 -4.82511e-07
0.00669933 1.47452e-08
0.00679932 -4.81994e-07
0.00689931 1.51621e-08
0.0069993 -4.81477e-07
0.00709929 1.55782e-08
0.00719928 -4.80961e-07
0.00729927 1.59932e-08
0.00739926 -4.80447e-07
0.00749925 1.64074e-08
0.00759924 -4.79933e-07
0.00769923 1.68206e-08
0.00779922 -4.7942e-07
0.00789921 1.7233e-08
0.0079992 -4.78908e-07
0.00809919 1.76443e-08
0.00819918 -4.78397e-07
0.00829917 1.80548e-08
0.00839916 -4.77887e-07
0.00849915 1.84643e-08
0.00859914 -4.77378e-07
0.00869913 1.8873e-08
0.00879912 -4.7687e-07
0.00889911 1.92807e-08
0.0089991 -4.76362e-07
0.00909909 1.96875e-08
0.00919908 -4.75856e-07
0.00929907 2.00934e-08
0.00939906 -4.7535e-07
0.00949905 2.04983e-08
0.00959904 -4.74846e-07
0.00969903 2.09024e-08
0.00979902 -4.74342e-07
0.00989901 2.13056e-08
0.009999 -4.73839e-07
0.010099 2.17078e-08
0.010199 -4.73338e-07
0.010299 2.21091e-08
0.010399 -4.72837e-07
0.010499 2.25096e-08
0.0105989 -4.72337e-07
0.0106989 2.29091e-08
0.0107989 -4.71837e-07
0.0108989 2.33078e-08
0.0109989 -4.71339e-07
0.0110989 2.37055e-08
0.0111989 -4.70842e-07
0.0112989 2.41024e-08
0.0113989 -4.70345e-07
0.0114989 2.44984e-08
0.0115988 -4.6985e-07
0.0116988 2.48934e-08
0.0117988 -4.69355e-07
0.0118988 2.52876e-08
0.0119988 -4.68861e-07
0.0120988 2.56809e-08
0.0121988 -4.68368e-07
0.0122988 2.60733e-08
0.0123988 -4.67876e-07
0.0124988 2.64648e-08
0.0125987 -4.67385e-07
0.0126987 2.68555e-08
0.0127987 -4.66895e-07
0.0128987 2.72452e-08
0.0129987 -4.66405e-07
0.0130987 2.76341e-08
0.0131987 -4.65917e-07
0.0132987 2.80221e-08
0.0133987 -4.65429e-07
0.0134987 2.84093e-08
0.0135986 -4.64942e-07
0.0136986 2.87955e-08
0.0137986 -4.64456e-07
0.0138986 2.91809e-08
0.0139986 -4.63971e-07
0.0140986 2.95654e-08
0.0141986 -4.63487e-07
0.0142986 2.99491e-08
0.0143986 -4.63004e-07
0.0144986 3.03319e-08
0.0145985 -4.62522e-07
0.0146985 3.07138e-08
0.0147985 -4.6204e-07
0.0148985 3.10948e-08
0.0149985 -4.61559e-07
0.0150985 3.1475e-08
0.0151985 -4.61079e-07
0.0152985 3.18544e-08
0.0153985 -4.60601e-07
0.0154985 3.22328e-08
0.0155984 -4.60122e-07
0.0156984 3.26105e-08
0.0157984 -4.59645e-07
0.0158984 3.29872e-08
0.0159984 -4.59169e-07
0.0160984 3.33631e-08
0.0161984 -4.58693e-07
0.0162984 3.37382e-08
0.0163984 -4.58218e-07
0.0164984 3.41124e-08
0.0165983 -4.57745e-07
0.0166983 3.44858e-08
0.0167983 -4.57272e-07
0.0168983 3.48583e-08
0.0169983 -4.56799e-07
0.0170983 3.523e-08
0.0171983 -4.56328e-07
0.0172983 3.56008e-08
0.0173983 -4.55858e-07
0.0174983 3.59708e-08
0.0175982 -4.55388e-07
0.0176982 3.634e-08
0.0177982 -4.54919e-07
0.0178982 3.67083e-08
0.0179982 -4.54451e-07
0.0180982 3.70758e-08
0.0181982 -4.53984e-07
0.0182982 3.74424e-08
0.0183982 -4.53518e-07
0.0184982 3.78082e-08
0.0185981 -4.53052e-07
0.0186981 3.81732e-08
0.0187981 -4.52588e-07
0.0188981 3.85374e-08
0.0189981 -4.52124e-07
0.0190981 3.89007e-08
0.0191981 -4.51661e-07
0.0192981 3.92632e-08
0.0193981 -4.51199e-07
0.0194981 3.96249e-08
0.019598 -4.50737e-07
0.019698 3.99857e-08
0.019798 -4.50277e-07
0.019898 4.03457e-08
0.019998 -4.49817e-07
0.020098 4.0705e-08
0.020198 -4.49358e-07
0.020298 4.10634e-08
0.020398 -4.489e-07
0.020498 4.14209e-08
0.0205979 -4.48443e-07
0.0206979 4.17777e-08
0.0207979 -4.47986e-07
0.0208979 4.21336e-08
0.0209979 -4.47531e-07
0.0210979 4.24888e-08
0.0211979 -4.47076e-07
0.0212979 4.28431e-08
0.0213979 -4.46622e-07
0.0214979 4.31966e-08
0.0215978 -4.46169e-07
0.0216978 4.35494e-08
0.0217978 -4.45716e-07
0.0218978 4.39013e-08
0.0219978 -4.45265e-07
0.0220978 4.42524e-08
0.0221978 -4.44814e-07
0.0222978 4.46027e-08
0.0223978 -4.44364e-07
0.0224978 4.49522e-08
0.0225977 -4.43915e-07
0.0226977 4.53009e-08
0.0227977 -4.43466e-07
0.0228977 4.56488e-08
0.0229977 -4.43019e-07
0.0230977 4.5996e-08
0.0231977 -4.42572e-07
0.0232977 4.63423e-08
0.0233977 -4.42126e-07
0.0234977 4.66878e-08
0.0235976 -4.41681e-07
0.0236976 4.70326e-08
0.0237976 -4.41236e-07
0.0238976 4.73765e-08
0.0239976 -4.40793e-07
0.0240976 4.77197e-08
0.0241976 -4.4035e-07
0.0242976 4.80621e-08
0.0243976 -4.39908e-07
0.0244976 4.84037e-08
0.0245975 -4.39467e-07
0.0246975 4.87445e-08
0.0247975 -4.39026e-07
0.0248975 4.90845e-08
0.0249975 -4.38586e-07
0.0250975 4.94238e-08
0.0251975 -4.38147e-07
0.0252975 4.97622e-08
0.0253975 -4.37709e-07
0.0254975 5.01e-08
0.0255974 -4.37272e-07
0.0256974 5.04369e-08
0.0257974 -4.36835e-07
0.0258974 5.0773e-08
0.0259974 -4.36399e-07
0.0260974 5.11084e-08
0.0261974 -4.35964e-07
0.0262974 5.1443e-08
0.0263974 -4.3553e-07
0.0264974 5.17769e-08
0.0265973 -4.35097e-07
0.0266973 5.21099e-08
0.0267973 -4.34664e-07
0.0268973 5.24423e-08
0.0269973 -4.34232e-07
0.0270973 5.27738e-08
