x           v
0 0
0.000999001 4.48147e-07
0.001998 -4.95803e-05
0.002997 8.86433e-07
0.003996 -4.90462e-05
0.004995 1.31505e-06
0.00599401 -4.85216e-05
0.00699301 1.7342e-06
0.00799201 -4.80065e-05
0.00899101 2.14405e-06
0.00999001 -4.75005e-05
0.010989 2.54481e-06
0.011988 -4.70035e-05
0.012987 2.93664e-06
0.013986 -4.65154e-05
0.014985 3.31972e-06
0.015984 -4.60359e-05
0.016983 3.69423e-06
0.017982 -4.55649e-05
0.018981 4.06033e-06
0.01998 -4.51022e-05
0.020979 4.4182e-06
0.021978 -4.46477e-05
0.022977 4.76799e-06
0.023976 -4.42012e-05
0.024975 5.10987e-06
0.025974 -4.37625e-05
0.026973 5.44398e-06
0.027972 -4.33315e-05
0.028971 5.77049e-06
0.02997 -4.2908e-05
0.030969 6.08955e-06
0.031968 -4.2492e-05
0.032967 6.4013e-06
0.033966 -4.20831e-05
0.034965 6.70588e-06
0.035964 -4.16813e-05
0.036963 7.00345e-06
0.037962 -4.12865e-05
0.038961 7.29413e-06
0.03996 -4.08985e-05
0.040959 7.57806e-06
0.041958 -4.05172e-05
0.042957 7.85539e-06
0.043956 -4.01425e-05
0.044955 8.12623e-06
0.045954 -3.97741e-05
0.046953 8.39072e-06
0.047952 -3.9412e-05
0.048951 8.64897e-06
0.04995 -3.90561e-05
0.0509491 8.90113e-06
0.0519481 -3.87063e-05
0.0529471 9.1473e-06
0.0539461 -3.83624e-05
0.0549451 9.3876e-06
0.0559441 -3.80242e-05
0.0569431 9.62216e-06
0.0579421 -3.76918e-05
0.0589411 9.85108e-06
0.0599401 -3.7365e-05
0.0609391 1.00745e-05
0.0619381 -3.70436e-05
0.0629371 1.02924e-05
0.0639361 -3.67276e-05
0.0649351 1.05051e-05
0.0659341 -3.64168e-05
0.0669331 1.07126e-05
0.0679321 -3.61112e-05
0.0689311 1.0915e-05
0.0699301 -3.58107e-05
0.0709291 1.11123e-05
0.0719281 -3.5515e-05
0.0729271 1.13048e-05
0.0739261 -3.52243e-05
0.0749251 1.14925e-05
0.0759241 -3.49383e-05
0.0769231 1.16754e-05
0.0779221 -3.46569e-05
0.0789211 1.18538e-05
0.0799201 -3.43802e-05
0.0809191 1.20276e-05
0.0819181 -3.41079e-05
0.0829171 1.2197e-05
0.0839161 -3.384e-05
0.0849151 1.2362e-05
0.0859141 -3.35764e-05
0.0869131 1.25228e-05
0.0879121 -3.3317e-05
0.0889111 1.26794e-05
0.0899101 -3.30618e-05
0.0909091 1.28319e-05
0.0919081 -3.28106e-05
0.0929071 1.29804e-05
0.0939061 -3.25633e-05
0.0949051 1.31249e-05
0.0959041 -3.232e-05
0.0969031 1.32656e-05
0.0979021 -3.20805e-05
0.0989011 1.34025e-05
0.0999001 -3.18447e-05
0.100899 1.35358e-05
0.101898 -3.16126e-05
0.102897 1.36654e-05
0.103896 -3.13841e-05
0.104895 1.37914e-05
0.105894 -3.11592e-05
0.106893 1.39139e-05
0.107892 -3.09376e-05
0.108891 1.4033e-05
0.10989 -3.07195e-05
0.110889 1.41488e-05
0.111888 -3.05047e-05
0.112887 1.42613e-05
0.113886 -3.02931e-05
0.114885 1.43705e-05
0.115884 -3.00847e-05
0.116883 1.44766e-05
0.117882 -2.98795e-05
0.118881 1.45797e-05
0.11988 -2.96773e-05
0.120879 1.46796e-05
0.121878 -2.94781e-05
0.122877 1.47766e-05
0.123876 -2.92819e-05
0.124875 1.48707e-05
0.125874 -2.90885e-05
0.126873 1.49619e-05
0.127872 -2.8898e-05
0.128871 1.50504e-05
0.12987 -2.87103e-05
0.130869 1.5136e-05
0.131868 -2.85252e-05
0.132867 1.5219e-05
0.133866 -2.83429e-05
0.134865 1.52994e-05
0.135864 -2.81631e-05
0.136863 1.53772e-05
0.137862 -2.79859e-05
0.138861 1.54524e-05
0.13986 -2.78112e-05
0.140859 1.55251e-05
0.141858 -2.7639e-05
0.142857 1.55955e-05
0.143856 -2.74692e-05
0.144855 1.56634e-05
0.145854 -2.73017e-05
0.146853 1.5729e-05
0.147852 -2.71366e-05
0.148851 1.57923e-05
0.14985 -2.69737e-05
0.150849 1.58533e-05
0.151848 -2.68131e-05
0.152847 1.59121e-05
0.153846 -2.66546e-05
0.154845 1.59688e-05
0.155844 -2.64983e-05
0.156843 1.60234e-05
0.157842 -2.63441e-05
0.158841 1.60759e-05
0.15984 -2.61919e-05
0.160839 1.61263e-05
0.161838 -2.60417e-05
0.162837 1.61748e-05
0.163836 -2.58936e-05
0.164835 1.62213e-05
0.165834 -2.57473e-05
0.166833 1.62659e-05
0.167832 -2.5603e-05
0.168831 1.63086e-05
0.16983 -2.54605e-05
0.170829 1.63495e-05
0.171828 -2.53198e-05
0.172827 1.63885e-05
0.173826 -2.51809e-05
0.174825 1.64258e-05
0.175824 -2.50438e-05
0.176823 1.64614e-05
0.177822 -2.49084e-05
0.178821 1.64953e-05
0.17982 -2.47746e-05
0.180819 1.65275e-05
0.181818 -2.46426e-05
0.182817 1.6558e-05
0.183816 -2.45121e-05
0.184815 1.6587e-05
0.185814 -2.43832e-05
0.186813 1.66144e-05
0.187812 -2.42559e-05
0.188811 1.66402e-05
0.18981 -2.41301e-05
0.190809 1.66646e-05
0.191808 -2.40058e-05
0.192807 1.66875e-05
0.193806 -2.38829e-05
0.194805 1.67089e-05
0.195804 -2.37615e-05
0.196803 1.67289e-05
0.197802 -2.36415e-05
0.198801 1.67475e-05
0.1998 -2.35229e-05
0.200799 1.67647e-05
0.201798 -2.34056e-05
0.202797 1.67807e-05
0.203796 -2.32896e-05
0.204795 1.67953e-05
0.205794 -2.3175e-05
0.206793 1.68086e-05
0.207792 -2.30616e-05
0.208791 1.68206e-05
0.20979 -2.29495e-05
0.210789 1.68314e-05
0.211788 -2.28385e-05
0.212787 1.68411e-05
0.213786 -2.27288e-05
0.214785 1.68495e-05
0.215784 -2.26203e-05
0.216783 1.68567e-05
0.217782 -2.25129e-05
0.218781 1.68629e-05
0.21978 -2.24066e-05
0.220779 1.68679e-05
0.221778 -2.23015e-05
0.222777 1.68718e-05
0.223776 -2.21974e-05
0.224775 1.68746e-05
0.225774 -2.20944e-05
0.226773 1.68764e-05
0.227772 -2.19924e-05
0.228771 1.68772e-05
0.22977 -2.18915e-05
0.230769 1.68769e-05
0.231768 -2.17915e-05
0.232767 1.68757e-05
0.233766 -2.16926e-05
0.234765 1.68734e-05
0.235764 -2.15945e-05
0.236763 1.68703e-05
0.237762 -2.14975e-05
0.238761 1.68662e-05
0.23976 -2.14013e-05
0.240759 1.68611e-05
0.241758 -2.13061e-05
0.242757 1.68552e-05
0.243756 -2.12118e-05
0.244755 1.68484e-05
0.245754 -2.11183e-05
0.246753 1.68408e-05
0.247752 -2.10257e-05
0.248751 1.68323e-05
0.24975 -2.09339e-05
0.250749 1.68229e-05
0.251748 -2.08429e-05
0.252747 1.68128e-05
0.253746 -2.07528e-05
0.254745 1.68018e-05
0.255744 -2.06634e-05
0.256743 1.67901e-05
0.257742 -2.05748e-05
0.258741 1.67777e-05
0.25974 -2.04869e-05
0.260739 1.67644e-05
0.261738 -2.03998e-05
0.262737 1.67505e-05
0.263736 -2.03135e-05
0.264735 1.67358e-05
0.265734 -2.02278e-05
0.266733 1.67204e-05
0.267732 -2.01428e-05
0.268731 1.67043e-05
0.26973 -2.00585e-05
0.270729 1.66875e-05
0.271728 -1.99749e-05
0.272727 1.66701e-05
0.273726 -1.9892e-05
0.274725 1.6652e-05
0.275724 -1.98097e-05
0.276723 1.66333e-05
0.277722 -1.9728e-05
0.278721 1.6614e-05
0.27972 -1.96469e-05
0.280719 1.6594e-05
0.281718 -1.95665e-05
0.282717 1.65735e-05
0.283716 -1.94866e-05
0.284715 1.65523e-05
0.285714 -1.94074e-05
0.286713 1.65306e-05
0.287712 -1.93287e-05
0.288711 1.65083e-05
0.28971 -1.92505e-05
0.290709 1.64855e-05
0.291708 -1.9173e-05
0.292707 1.64621e-05
0.293706 -1.90959e-05
0.294705 1.64382e-05
0.295704 -1.90194e-05
0.296703 1.64137e-05
0.297702 -1.89434e-05
0.298701 1.63888e-05
0.2997 -1.88679e-05
0.300699 1.63633e-05
0.301698 -1.87929e-05
0.302697 1.63374e-05
0.303696 -1.87184e-05
0.304695 1.63109e-05
0.305694 -1.86443e-05
0.306693 1.6284e-05
0.307692 -1.85708e-05
0.308691 1.62567e-05
0.30969 -1.84977e-05
0.310689 1.62288e-05
0.311688 -1.8425e-05
0.312687 1.62006e-05
